ts_code,trade_date,turnover_rate,turnover_rate_f,volume_ratio,total_mv,float_mv
688712.SH,20260605,5.2716,5.2716,,1614207.0,
300106.SZ,20260605,10.9712,18.8573,,291427.2555,
300206.SZ,20260605,1.8121,2.3771,,753562.3498,
300419.SZ,20260605,1.5353,1.8064,,261840.6842,
600713.SH,20260605,0.5252,1.1946,,657064.2599,
600265.SH,20260605,3.7654,10.5489,,342801.8,
002016.SZ,20260605,2.9788,7.4995,,394838.6684,
002091.SZ,20260605,0.7339,1.3401,,1349382.0064,
000566.SZ,20260605,1.7044,2.2107,,517648.6853,
301206.SZ,20260605,1.0324,1.4158,,485784.0057,
920010.BJ,20260605,3.693,6.8652,,253025.5,
601377.SH,20260605,0.8894,1.2565,,5043416.5797,
002319.SZ,20260605,6.1826,8.7506,,251157.5395,
002712.SZ,20260605,3.4132,5.4888,,274859.48,
002966.SZ,20260605,0.834,0.99,,3598882.9189,
688543.SH,20260605,4.0446,4.0446,,1028003.9962,
301220.SZ,20260605,2.0868,2.4412,,403719.6072,
688766.SH,20260605,4.283,6.9299,,5862744.4392,
601456.SH,20260605,0.5411,0.8415,,4953476.9268,
605298.SH,20260605,0.9823,3.5117,,1014390.0,
300268.SZ,20260605,1.262,1.802,,215659.6,
002912.SZ,20260605,1.5265,2.2918,,352432.128,
301203.SZ,20260605,1.6938,1.9623,,350400.0,
002023.SZ,20260605,7.7369,9.8846,,878660.2387,
002134.SZ,20260605,9.0664,12.8223,,658045.997,
603360.SH,20260605,3.7181,8.4097,,1427984.2284,
300034.SZ,20260605,1.7266,2.9166,,1424170.3131,
001338.SZ,20260605,1.16,2.3927,,529827.7607,
601919.SH,20260605,1.2616,3.0926,,22969475.7705,
002274.SZ,20260605,1.3381,2.2311,,531419.4725,
600917.SH,20260605,0.2354,0.5227,,802374.4366,
300221.SZ,20260605,12.3551,12.3551,,700209.4244,
002669.SZ,20260605,19.4042,27.2834,,504250.8,
688350.SH,20260605,1.8579,2.8685,,476145.1435,
603308.SH,20260605,2.371,3.6179,,4368993.4487,
600783.SH,20260605,5.8084,17.8026,,1755943.5745,
002553.SZ,20260605,4.555,5.3326,,650273.7358,
300837.SZ,20260605,2.7939,5.8253,,281015.7051,
301658.SZ,20260605,5.981,5.981,,1323711.3434,
300882.SZ,20260605,1.4454,4.457,,459639.1079,
301630.SZ,20260605,13.6868,13.6868,,956040.0,
001280.SZ,20260605,5.6742,5.6742,,14411090.9078,
002397.SZ,20260605,2.5661,3.5679,,338744.9937,
603877.SH,20260605,1.0857,3.6848,,602034.7893,
601069.SH,20260605,1.2365,3.9258,,2374063.7145,
600738.SH,20260605,1.3064,2.6227,,322806.1401,
688301.SH,20260605,5.0443,6.9109,,3663364.4066,
601717.SH,20260605,1.0064,1.6083,,3228003.0734,
600503.SH,20260605,5.8227,6.2688,,443834.33,
603755.SH,20260605,1.0957,2.6467,,246041.1341,
600305.SH,20260605,0.663,1.1376,,767891.2404,
688059.SH,20260605,6.5249,10.1719,,1654581.0369,
920152.BJ,20260605,11.0086,13.4278,,250518.825,
605077.SH,20260605,4.9418,7.9231,,412451.1249,
601188.SH,20260605,1.751,3.5297,,416444.9029,
300859.SZ,20260605,2.8296,4.6848,,461900.0,
300890.SZ,20260605,6.9484,7.1687,,413387.8802,
601567.SH,20260605,1.302,2.6864,,2155591.2196,
600979.SH,20260605,7.8458,12.0831,,653538.3229,
600234.SH,20260605,1.2765,2.156,,622699.748,
603690.SH,20260605,5.1268,7.0685,,997238.907,
603365.SH,20260605,0.471,1.2476,,483255.6883,
601015.SH,20260605,6.0088,15.4684,,827211.5438,
603908.SH,20260605,1.7417,4.4198,,188582.1507,
603950.SH,20260605,2.1955,5.9752,,2094533.2296,
001400.SZ,20260605,5.6372,10.9486,,976248.0,
603636.SH,20260605,2.4383,3.6591,,520583.3891,
002769.SZ,20260605,4.7691,6.3523,,299027.7613,
603863.SH,20260605,2.2049,3.125,,324370.25,
688108.SH,20260605,4.1419,5.0019,,815006.4,
688180.SH,20260605,1.8699,2.9059,,3092389.8915,
603708.SH,20260605,0.7969,2.6918,,621103.5308,
603607.SH,20260605,2.4161,4.6595,,392379.9264,
301353.SZ,20260605,3.5292,3.5292,,251112.3579,
601992.SH,20260605,0.8438,2.3473,,1708443.3814,
603896.SH,20260605,1.5105,2.5872,,317190.2576,
688033.SH,20260605,1.2251,1.6388,,406469.5849,
300152.SZ,20260605,4.6345,4.6345,,134006.4,
688680.SH,20260605,2.8019,4.1658,,425994.8026,
000997.SZ,20260605,2.1266,3.067,,2001881.48,
002015.SZ,20260605,9.2128,17.7257,,3623260.5384,
601888.SH,20260605,3.5342,7.5677,,11884996.8037,
605299.SH,20260605,5.0142,16.7563,,666930.6279,
920184.BJ,20260605,2.4005,3.2896,,168874.5499,
600787.SH,20260605,0.7317,1.4174,,1015597.2444,
002126.SZ,20260605,3.042,3.2286,,4239111.2765,
600185.SH,20260605,1.1132,2.0222,,978318.0076,
688566.SH,20260605,0.4399,1.4346,,483448.3065,
001257.SZ,20260605,14.8309,14.8309,,4433821.2231,
605199.SH,20260605,0.3049,0.9953,,262871.4501,
002436.SZ,20260605,12.2022,12.6923,,6441762.8038,
300354.SZ,20260605,4.4038,5.6653,,457701.5451,
002765.SZ,20260605,2.7916,3.6929,,537353.5462,
688332.SH,20260605,1.9935,5.3121,,1563531.5434,
601827.SH,20260605,0.7037,2.5219,,1337546.64,
600630.SH,20260605,3.263,4.667,,356883.7415,
300118.SZ,20260605,6.8832,7.4521,,1593739.3805,
002237.SZ,20260605,1.5434,2.287,,1896140.761,
603768.SH,20260605,1.7043,4.3711,,266510.5598,
300900.SZ,20260605,9.5298,9.9385,,1170289.3127,
920833.BJ,20260605,1.8966,3.2726,,117692.44,
300447.SZ,20260605,3.8216,4.8865,,516249.0499,
002438.SZ,20260605,2.7492,3.5533,,862813.6837,
688389.SH,20260605,0.3661,0.5758,,481189.4748,
301070.SZ,20260605,5.3532,6.4214,,875409.9077,
301533.SZ,20260605,2.9792,3.0269,,269065.4379,
002935.SZ,20260605,1.6239,2.8489,,810035.7903,
688358.SH,20260605,1.3484,4.5662,,354204.8115,
300329.SZ,20260605,1.0631,1.9161,,315099.4199,
600817.SH,20260605,0.4637,1.5858,,524309.5234,
002125.SZ,20260605,14.3422,24.8244,,1068910.2434,
601009.SH,20260605,0.3292,0.7688,,13797741.0454,
002213.SZ,20260605,17.8222,22.1124,,896743.0579,
002930.SZ,20260605,3.7673,7.7365,,453372.594,
688330.SH,20260605,1.0336,2.0141,,499940.0,
688236.SH,20260605,0.4005,2.1789,,597983.2915,
002310.SZ,20260605,2.2545,3.4397,,1631815.6158,
