ts_code,trade_date,turnover_rate,turnover_rate_f,volume_ratio,total_mv,float_mv
002050.SZ,20260327,1.8338,3.2771,,18241740.4082,
300788.SZ,20260327,1.3225,4.9907,,576349.242,
603788.SH,20260327,0.5706,1.1695,,333259.2116,
605259.SH,20260327,1.1484,2.6347,,369797.12,
002117.SZ,20260327,0.941,1.3608,,535766.537,
920925.BJ,20260327,1.5983,2.3323,,163641.5887,
002634.SZ,20260327,3.4985,4.5557,,339461.5071,
000859.SZ,20260327,6.511,9.1852,,924647.5117,
688360.SH,20260327,1.489,2.8928,,511930.3396,
688737.SH,20260327,1.4705,2.3403,,313737.2716,
300286.SZ,20260327,2.1992,3.1032,,716491.7593,
603883.SH,20260327,0.9819,1.8776,,1024501.8186,
300517.SZ,20260327,2.1592,2.6652,,225865.9841,
600638.SH,20260327,1.0405,1.6623,,406058.262,
300417.SZ,20260327,4.1384,5.1805,,167665.7472,
002756.SZ,20260327,5.8508,6.6777,,4378043.6063,
920245.BJ,20260327,0.6397,1.3315,,116641.596,
688022.SH,20260327,1.5802,2.1421,,252209.5166,
002404.SZ,20260327,1.6928,2.5818,,379714.9448,
600057.SH,20260327,0.7378,1.6843,,2261109.1138,
000921.SZ,20260327,0.7439,1.8279,,3078546.3831,
002496.SZ,20260327,2.5986,2.879,,290964.8077,
601018.SH,20260327,0.2441,1.5479,,8015208.0204,
600749.SH,20260327,1.6152,2.9402,,367911.1031,
002657.SZ,20260327,1.9031,2.079,,763416.7288,
001259.SZ,20260327,2.542,5.013,,234969.3194,
000981.SZ,20260327,3.9025,6.777,,4338902.3654,
301032.SZ,20260327,2.5835,4.6838,,287913.2796,
000408.SZ,20260327,1.2157,2.7311,,12640317.2473,
600117.SH,20260327,0.3908,1.0737,,852840.0925,
000601.SZ,20260327,24.2402,34.4504,,830187.7927,
600919.SH,20260327,0.4337,0.6007,,19837781.7445,
300980.SZ,20260327,4.6625,5.4943,,524647.7524,
605266.SH,20260327,1.0165,2.0189,,291777.0481,
603326.SH,20260327,1.0557,3.3024,,285024.9985,
001914.SZ,20260327,0.4911,1.3226,,1044236.3793,
920247.BJ,20260327,0.7209,1.7785,,307053.5795,
603171.SH,20260327,0.5827,2.2813,,2058543.77,
000735.SZ,20260327,1.5916,2.0259,,786483.7738,
603303.SH,20260327,0.5003,2.0796,,660568.2364,
002099.SZ,20260327,1.785,2.9643,,1160618.8364,
920726.BJ,20260327,2.3693,4.8106,,172025.64,
300997.SZ,20260327,1.0928,3.198,,872322.1092,
600548.SH,20260327,0.7585,4.7127,,2339903.3491,
920080.BJ,20260327,0.8206,0.8206,,195963.0,
600381.SH,20260327,1.2896,2.2157,,167899.3719,
600602.SH,20260327,4.9108,8.7634,,2900835.3981,
002707.SZ,20260327,1.3608,1.7716,,643678.3466,
000603.SZ,20260327,2.6457,4.4658,,2655002.0434,
301002.SZ,20260327,2.9277,3.6936,,478890.2702,
000042.SZ,20260327,1.1622,2.4927,,622281.9461,
601069.SH,20260327,1.3789,4.5872,,2762149.3409,
002205.SZ,20260327,0.92,1.3182,,241596.1964,
301066.SZ,20260327,1.6664,3.3255,,329597.1247,
301238.SZ,20260327,2.0877,7.1765,,1487199.9324,
600980.SH,20260327,1.8244,3.4774,,410701.8514,
600252.SH,20260327,1.4905,2.1373,,799224.9306,
002136.SZ,20260327,4.9018,7.137,,273290.42,
300199.SZ,20260327,6.2858,6.6976,,1660493.7117,
603080.SH,20260327,1.3016,2.4532,,313422.5,
002827.SZ,20260327,0.7718,1.8278,,889871.752,
688433.SH,20260327,1.3431,2.1684,,3209808.2,
603868.SH,20260327,0.2889,2.8862,,1433995.2,
603506.SH,20260327,1.1769,3.0387,,230966.6682,
688358.SH,20260327,0.6335,2.1451,,326734.0363,
605277.SH,20260327,1.7103,3.7151,,730916.5873,
605167.SH,20260327,0.8293,2.2197,,739169.22,
603650.SH,20260327,1.3961,3.5783,,3111835.0815,
920469.BJ,20260327,0.8313,1.1199,,124314.372,
300804.SZ,20260327,5.4772,5.4772,,330040.0,
600361.SH,20260327,1.2173,2.4409,,1541589.7831,
603100.SH,20260327,0.8177,1.7824,,984266.1516,
300865.SZ,20260327,1.4313,2.3302,,249916.16,
300096.SZ,20260327,1.0523,1.2556,,338410.0,
600038.SH,20260327,0.5703,1.0121,,2735163.7586,
600128.SH,20260327,1.5803,2.1496,,272337.9934,
603698.SH,20260327,3.2925,10.6836,,1604218.07,
920166.BJ,20260327,12.2844,12.2844,,214136.4716,
002730.SZ,20260327,13.8195,27.6864,,884199.067,
002284.SZ,20260327,1.1393,1.9822,,1063565.4008,
002537.SZ,20260327,3.3508,4.4775,,938039.3793,
600593.SH,20260327,3.2454,6.9934,,498039.01,
000809.SZ,20260327,8.8966,13.5401,,342288.3866,
601882.SH,20260327,0.8321,3.5701,,974574.0,
000564.SZ,20260327,1.3788,1.957,,3521322.354,
000617.SZ,20260327,2.9728,14.8805,,13451172.1401,
002578.SZ,20260327,2.1901,3.7406,,363249.8808,
300396.SZ,20260327,0.8575,1.791,,317150.2872,
002286.SZ,20260327,2.0948,2.5289,,376000.5714,
002574.SZ,20260327,1.3657,2.9758,,303072.0,
300131.SZ,20260327,14.9967,15.0453,,1380183.6938,
600829.SH,20260327,0.9412,3.7096,,581048.3742,
001225.SZ,20260327,5.8178,6.8781,,314513.97,
301379.SZ,20260327,1.9848,1.9853,,493230.9327,
300343.SZ,20260327,1.3249,1.5085,,679864.3597,
300683.SZ,20260327,13.8293,23.029,,508001.1315,
301182.SZ,20260327,4.4664,9.1666,,541009.3182,
600530.SH,20260327,1.3874,3.1496,,416906.96,
603577.SH,20260327,2.3962,6.0211,,380514.0702,
