trade_date,industry,limit_up_count,rank
20260130,铅锌,9,1
20260130,黄金,9,2
20260130,铜,8,3
20260130,小金属,7,4
20260130,专用机械,6,5
20260130,元器件,6,6
20260130,化工原料,6,7
20260130,建筑工程,4,8
20260130,电气设备,4,9
20260130,种植业,4,10
