trade_date,ts_code,name,industry,is_hot_board,board_rank,board_limit_up_count,is_st_like
20260130,603966.SH,法兰泰克,专用机械,1,5.0,6.0,0
20260130,603979.SH,金诚信,铜,1,3.0,8.0,0
20260130,603993.SH,洛阳钼业,小金属,1,4.0,7.0,0
20260130,605003.SH,众望布艺,纺织,0,,,0
20260130,605151.SH,西上海,汽车配件,0,,,0
20260130,605288.SH,凯迪股份,电气设备,1,9.0,4.0,0
20260130,605289.SH,罗曼股份,建筑工程,1,8.0,4.0,0
20260130,688025.SH,杰普特,专用机械,1,5.0,6.0,0
20260130,688280.SH,精进电动-UW,汽车配件,0,,,0
20260130,688583.SH,思看科技,电器仪表,0,,,0
