ts_code,trade_date,turnover_rate,turnover_rate_f,volume_ratio,total_mv,float_mv
600133.SH,20260303,3.7997,4.5824,,993735.5635,
300011.SZ,20260303,3.7945,5.0726,,529255.4082,
300872.SZ,20260303,2.9351,3.4383,,841032.626,
301110.SZ,20260303,3.4283,4.8356,,598703.6045,
301036.SZ,20260303,3.7106,5.6177,,306800.0,
001219.SZ,20260303,2.0003,3.842,,282921.4213,
603950.SH,20260303,8.8366,24.0489,,1622598.7848,
301088.SZ,20260303,1.1585,3.7751,,352105.5,
688097.SH,20260303,3.3596,10.8574,,2009914.9425,
000951.SZ,20260303,2.4227,5.007,,2272197.3422,
300529.SZ,20260303,1.1078,1.3832,,1518148.6278,
920098.BJ,20260303,4.0135,6.0101,,239244.5256,
003005.SZ,20260303,2.7718,3.5317,,453753.2231,
688525.SH,20260303,6.6133,9.2871,,6850953.6589,
603716.SH,20260303,4.3414,5.1003,,430908.2083,
300549.SZ,20260303,4.1393,5.6808,,234678.4,
002259.SZ,20260303,12.6092,17.5928,,433341.0818,
688108.SH,20260303,3.0241,3.943,,854711.84,
301113.SZ,20260303,3.3131,7.5149,,234234.0,
001333.SZ,20260303,4.8559,4.8559,,332928.0,
300999.SZ,20260303,2.9072,2.9072,,15793096.1444,
300329.SZ,20260303,3.324,5.9914,,343928.7408,
600249.SH,20260303,2.1923,3.419,,314600.0,
300707.SZ,20260303,9.2022,11.0532,,295353.0696,
603826.SH,20260303,1.741,6.4279,,1303192.8,
600397.SH,20260303,12.7135,20.9599,,1915572.3717,
000428.SZ,20260303,2.2395,4.9984,,378021.546,
600866.SH,20260303,4.0611,5.4901,,1279333.9143,
002146.SZ,20260303,5.0864,7.3701,,669617.2331,
300976.SZ,20260303,2.9925,5.4678,,761309.6342,
600648.SH,20260303,0.2871,0.8014,,1395269.9357,
300911.SZ,20260303,7.4953,16.178,,825193.7922,
920879.BJ,20260303,2.1471,4.2565,,372946.4328,
688114.SH,20260303,1.3662,2.5744,,2414960.6667,
600967.SH,20260303,2.8646,6.4674,,2945806.5686,
000782.SZ,20260303,6.0275,6.8786,,406456.2533,
300600.SZ,20260303,3.6706,7.0794,,414870.6168,
002774.SZ,20260303,2.4376,6.0567,,357899.2377,
000972.SZ,20260303,1.6956,2.6345,,286146.2078,
000856.SZ,20260303,4.2525,6.075,,237669.0,
603896.SH,20260303,3.6541,6.2588,,414528.0179,
002430.SZ,20260303,1.5923,3.8963,,3190413.7212,
920152.BJ,20260303,2.509,3.0599,,224910.234,
688376.SH,20260303,2.0093,4.6685,,811646.9159,
002971.SZ,20260303,5.4382,7.0896,,717849.45,
301299.SZ,20260303,3.8726,6.1327,,372849.958,
301386.SZ,20260303,8.9301,8.9301,,368480.0,
301587.SZ,20260303,3.9499,4.3498,,340622.4285,
688221.SH,20260303,3.7678,6.3941,,692970.5081,
603931.SH,20260303,2.288,6.3383,,607854.8255,
688567.SH,20260303,1.5135,2.5924,,1671838.1147,
688530.SH,20260303,23.6445,23.6445,,591045.535,
301363.SZ,20260303,3.8773,9.2638,,1619007.3783,
920533.BJ,20260303,3.5699,5.0795,,336307.8476,
600301.SH,20260303,10.4718,14.41,,4490596.5334,
600170.SH,20260303,3.8652,7.0152,,2514720.9476,
603589.SH,20260303,1.1287,1.8488,,1622100.0081,
002442.SZ,20260303,2.3754,3.8171,,319085.5798,
