ts_code,trade_date,turnover_rate,turnover_rate_f,volume_ratio,total_mv,float_mv
603109.SH,20260224,1.1717,2.9298,,561802.0884,
002873.SZ,20260224,2.1136,2.9632,,259970.5534,
688190.SH,20260224,1.9327,5.3305,,1332000.0,
920139.BJ,20260224,1.2165,2.1783,,568391.0897,
002310.SZ,20260224,1.4653,2.3029,,1421839.3417,
300415.SZ,20260224,1.2557,1.802,,1232318.2809,
002569.SZ,20260224,1.1846,1.3976,,202478.06,
600279.SH,20260224,0.858,2.483,,643281.5254,
002682.SZ,20260224,5.4031,7.6212,,405467.7563,
600802.SH,20260224,2.7867,4.0323,,292820.7276,
300805.SZ,20260224,5.7373,8.1514,,570450.2523,
300520.SZ,20260224,17.5757,22.3244,,1298953.9681,
002330.SZ,20260224,2.3493,3.9806,,328458.0049,
688577.SH,20260224,1.2212,3.1259,,823247.4351,
301151.SZ,20260224,0.911,2.7597,,343416.3312,
603599.SH,20260224,2.761,4.7303,,1357211.5934,
000547.SZ,20260224,9.8605,12.551,,4408575.4859,
002453.SZ,20260224,1.7315,2.2693,,500418.1496,
002493.SZ,20260224,0.6028,2.1764,,14944205.612,
002810.SZ,20260224,4.7189,7.4654,,691812.944,
605080.SH,20260224,1.0982,3.2611,,363476.8771,
300590.SZ,20260224,1.6293,2.3008,,586854.7785,
300697.SZ,20260224,10.6909,13.7547,,799951.36,
300400.SZ,20260224,2.0389,3.0536,,514366.696,
600365.SH,20260224,1.4019,1.7542,,143927.51,
603606.SH,20260224,1.3164,2.2245,,3969493.1041,
002140.SZ,20260224,1.6176,5.0503,,858112.8129,
002472.SZ,20260224,3.5694,4.1312,,3643837.6487,
300751.SZ,20260224,4.5021,5.7627,,7740356.8812,
002200.SZ,20260224,0.6185,1.3282,,318494.6602,
002068.SZ,20260224,1.4,2.6605,,691224.4842,
920496.BJ,20260224,1.7658,2.5423,,172860.3,
002128.SZ,20260224,0.5325,1.2478,,6442282.2189,
002236.SZ,20260224,1.5775,1.812,,6274416.3908,
002950.SZ,20260224,0.9254,1.7581,,697225.2131,
300418.SZ,20260224,11.3406,17.2805,,7908748.8039,
002048.SZ,20260224,2.6082,4.2064,,2550553.0043,
300438.SZ,20260224,3.3748,3.9865,,2407994.6342,
601636.SH,20260224,1.6493,2.6231,,2150941.2603,
