trade_date,update_time,ts_code,name,price,open,high,low,close,pre_close,pct_chg,amount,volume,turnover_rate,volume_ratio,sector_name,sector_rank,sector_limitup_count,sector_gt6_count,sector_amount_ratio,pre_day_limitup,today_limitup,today_limit_up_price,prev_limit_up_price,ret_5d,ret_20d
20260703,2026-07-06 15:49:56,688585.SH,上纬新材,173.5,164.88,186.02,163.0,173.5,161.97998356860109,7.112,2168241390.0,122429.13,3.0352,2.57,化工原料,99.0,0.0,6,24.756910664729215,0,0,194.38,,7.112,7.112
20260703,2026-07-06 15:49:56,688611.SH,杭州柯林,75.0,69.7,77.17,69.54,75.0,69.32998577348692,8.1783,228916718.0,30649.36,1.9981,1.77,电气设备,99.0,0.0,33,27.418844383097706,0,0,83.2,,8.1783,8.1783
20260703,2026-07-06 15:49:56,688636.SH,智明达,40.2,35.23,41.0,35.0,40.2,35.20001400995583,14.2045,541695698.0,140467.9,8.0772,2.94,元器件,99.0,0.0,32,64.38759093254617,0,0,42.24,,14.2045,14.2045
20260703,2026-07-06 15:49:56,688658.SH,悦康药业,15.1,14.2,15.21,14.05,15.1,14.080002387073252,7.2443,335971243.0,229279.1,5.0951,1.45,化学制药,99.0,0.0,9,9.829294354187303,0,0,16.9,,7.2443,7.2443
20260703,2026-07-06 15:49:56,688661.SH,和林微纳,174.37,153.73,177.0,153.5,174.37,156.5100160306755,11.4114,1204450864.0,72724.49,4.788,1.26,元器件,99.0,0.0,32,64.38759093254617,0,0,187.81,,11.4114,11.4114
20260703,2026-07-06 15:49:56,688669.SH,聚石化学,112.2,106.99,118.5,106.5,112.2,105.28004774196819,6.5729,751215368.0,66622.95,5.4909,0.84,化工原料,99.0,0.0,6,24.756910664729215,0,0,126.34,,6.5729,6.5729
20260703,2026-07-06 15:49:56,688698.SH,伟创电气,61.5,56.35,62.8,55.6,61.5,55.299986692035716,11.2116,915423255.0,152960.92,7.1469,2.07,电气设备,99.0,0.0,33,27.418844383097706,0,0,66.36,,11.2116,11.2116
20260703,2026-07-06 15:49:56,688716.SH,中研股份,36.57,33.82,38.16,33.44,36.57,33.189997077610315,10.1838,322702288.0,89098.84,12.7417,2.38,化工原料,99.0,0.0,6,24.756910664729215,0,0,39.83,,10.1838,10.1838
20260703,2026-07-06 15:49:56,688767.SH,博拓生物,37.0,34.33,37.24,34.2,37.0,33.85999350254178,9.2735,91156503.0,25471.72,1.7057,1.44,医疗保健,99.0,0.0,10,4.761599302224957,0,0,40.63,,9.2735,9.2735
20260703,2026-07-06 15:49:56,688808.SH,联讯仪器,2270.0,2129.76,2315.0,2018.01,2270.0,2129.999399471535,6.5728,4247464599.9999995,19239.58,9.9707,1.27,电器仪表,99.0,0.0,10,5.915751620027155,0,0,2556.0,,6.5728,6.5728
20260703,2026-07-06 15:49:56,688818.SH,电科蓝天,78.7,73.5,81.18,73.21,78.7,73.21999585055678,7.4843,2090783146.0,268714.63,20.3546,1.28,航空,99.0,0.0,11,5.0869768229556644,0,0,87.86,,7.4843,7.4843
20260703,2026-07-06 15:49:56,920002.BJ,万达轴承,65.82,53.0,66.66,52.15,65.82,52.599991529019896,25.1331,345911147.55,56254.51,12.6139,3.42,工程机械,9.0,3.0,6,2.7086746338053835,0,0,68.38,,25.1331,25.1331
20260703,2026-07-06 15:49:56,920009.BJ,丹娜生物,42.23,39.8,42.48,38.8,42.23,39.80001036704034,6.1055,54777614.39,13446.42,13.3397,1.52,医疗保健,99.0,0.0,10,4.761599302224957,0,0,51.74,,6.1055,6.1055
20260703,2026-07-06 15:49:56,920011.BJ,晨光电机,24.01,22.45,24.9,21.88,24.01,21.649998602353275,10.9007,99127595.19,42023.7,22.5934,3.04,电气设备,99.0,0.0,33,27.418844383097706,0,0,28.14,,10.9007,10.9007
