ts_code,trade_date,pct_chg
000020.SZ,20260819,10.008
000059.SZ,20260819,9.9783
000505.SZ,20260819,10.0147
000526.SZ,20260819,9.9887
000560.SZ,20260819,10.1852
000703.SZ,20260819,9.2158
000723.SZ,20260819,9.887
000736.SZ,20260819,10.1124
001277.SZ,20260819,10.01
001301.SZ,20260819,10.0071
001338.SZ,20260819,10.0571
001400.SZ,20260819,9.9962
002040.SZ,20260819,9.9515
002333.SZ,20260819,10.0694
002412.SZ,20260819,10.0654
002543.SZ,20260819,10.0291
002592.SZ,20260819,8.4553
002667.SZ,20260819,9.9792
002900.SZ,20260819,9.993
002953.SZ,20260819,10.0375
300035.SZ,20260819,8.4133
300069.SZ,20260819,20.0139
300155.SZ,20260819,8.1585
300313.SZ,20260819,12.1894
300911.SZ,20260819,19.982
301106.SZ,20260819,20.0189
301130.SZ,20260819,19.9856
301211.SZ,20260819,19.967
600127.SH,20260819,9.9859
600371.SH,20260819,9.9509
600403.SH,20260819,10.0
600610.SH,20260819,10.0141
600783.SH,20260819,10.0272
601011.SH,20260819,10.1449
601015.SH,20260819,10.089
601609.SH,20260819,8.3682
603102.SH,20260819,10.0
603113.SH,20260819,10.0427
603290.SH,20260819,10.0011
603366.SH,20260819,9.9424
603395.SH,20260819,10.0152
603506.SH,20260819,10.0
603801.SH,20260819,10.0503
603848.SH,20260819,9.9775
688152.SH,20260819,8.4334
688569.SH,20260819,13.2835
688836.SH,20260819,460.3448
920059.BJ,20260819,122.372
920169.BJ,20260819,17.3016
920206.BJ,20260819,11.2735
