ts_code,trade_date,pct_chg
000017.SZ,20260826,10.0
000428.SZ,20260826,9.9537
000533.SZ,20260826,10.0474
000536.SZ,20260826,10.1227
000632.SZ,20260826,9.8901
000677.SZ,20260826,9.8837
000712.SZ,20260826,10.0451
000890.SZ,20260826,10.069
000997.SZ,20260826,9.9947
001258.SZ,20260826,10.0081
001268.SZ,20260826,9.991
002026.SZ,20260826,8.1818
002047.SZ,20260826,10.0
002072.SZ,20260826,10.068
002078.SZ,20260826,8.7896
002084.SZ,20260826,10.1149
002094.SZ,20260826,9.9222
002295.SZ,20260826,10.0327
002366.SZ,20260826,10.0529
002418.SZ,20260826,10.1235
002703.SZ,20260826,10.0189
002719.SZ,20260826,10.0813
002721.SZ,20260826,10.0
002742.SZ,20260826,10.0427
002855.SZ,20260826,10.0
002942.SZ,20260826,9.9936
002949.SZ,20260826,9.9678
002963.SZ,20260826,9.9902
003040.SZ,20260826,10.0129
300010.SZ,20260826,12.9167
300122.SZ,20260826,8.6656
300328.SZ,20260826,8.0424
300333.SZ,20260826,16.7455
300561.SZ,20260826,9.3115
300647.SZ,20260826,16.323
300816.SZ,20260826,11.1791
300927.SZ,20260826,10.1404
301107.SZ,20260826,9.8875
301177.SZ,20260826,20.0084
301235.SZ,20260826,10.4907
301580.SZ,20260826,9.3517
301630.SZ,20260826,19.9988
301662.SZ,20260826,8.0636
600095.SH,20260826,10.0254
600103.SH,20260826,10.1587
600227.SH,20260826,9.9738
600272.SH,20260826,10.0104
600362.SH,20260826,10.0113
600371.SH,20260826,10.0346
600468.SH,20260826,10.0503
600479.SH,20260826,9.98
600604.SH,20260826,9.9138
600969.SH,20260826,9.9537
601038.SH,20260826,9.977
601212.SH,20260826,10.0304
603083.SH,20260826,10.0
603106.SH,20260826,10.0671
603118.SH,20260826,10.0308
603121.SH,20260826,10.0239
603200.SH,20260826,9.9974
603392.SH,20260826,10.0
603396.SH,20260826,10.0193
603615.SH,20260826,9.9882
603618.SH,20260826,9.9931
603838.SH,20260826,10.0343
603979.SH,20260826,10.0041
605162.SH,20260826,10.0
605169.SH,20260826,10.0177
605277.SH,20260826,10.0198
688185.SH,20260826,20.0
688521.SH,20260826,9.7331
688805.SH,20260826,9.4163
688828.SH,20260826,15.0932
688835.SH,20260826,27.4383
920274.BJ,20260826,11.068
920627.BJ,20260826,8.5834
920735.BJ,20260826,13.4021
920790.BJ,20260826,13.0005
